name,type,region,lat,lng,address,tel,email,web,contact1_name,contact1_role,contact1_email
Makes.Events,distributor,OTHER — United States,40.73153,-74.17447,"Newark, United States",13802657385,,,,Contact,
EAE Group,distributor,OTHER — Türkiye,41.00824,28.97836,"Istanbul, Türkiye",,ender.acikalin@eaegroup.com,,Ender ACIKALIN,Contact,
ArdiÃƒÂ§,distributor,OTHER,41.05187,28.8189,Mahmutbey,902000000000,export@ardic.com,,Aziz Azizi,Contact,
Beinfield Architecture,distributor,OTHER — United States,41.11385,-73.40765,"Norwalk, United States",12038385789,,,,Contact,
Expert Engineering SHPK,distributor,OTHER — Albania,41.32755,19.8187,"Tirana, Albania",356000000000,info@experteng.al,,ARTUR DADO,Contact,
PUK Lighting,distributor,ELECTRICAL — Italy,41.87194,12.56738,"Italy, Italy",390000000000,,,,Contact,
UNISET TRADING,distributor,OTHER — Bulgaria,42.13541,24.74529,"Plovdiv Bulgaria, Bulgaria",360000000000,georgi@unisett.com,,Georgi CHERNEV,Contact,
INDEX,distributor,OTHER — Spain,42.46272,-2.44498,"Logrono, Spain",(+34) 941.272.131,tdeppieri@indexfix.com,,THOMAS DEPPIERI,Contact,
Enigma Heating & Cooling,distributor,HVAC — Kosovo,42.6673,21.16431,"Pristina, Kosovo",38344555123,,,,Contact,
KLIMA RODACLIM,distributor,OTHER — France,43.29268,5.56764,"Aubagne, France",,c.graille@klima-rodaclim.com,,Charles GRAILLE,Christophe Vauraz,C.Vauraz@Zip-Clip.com
Tout Pour Le Pro,distributor,OTHER — France,43.60233,7.00649,"Mougins, France",33493750000,py@toutpourlepro.com,,Pierre Yves NOLASCO,Contact,
Loos & Co.,distributor,OTHER — United States,43.70472,-72.51561,"Pomfret, United States",,,,,Contact,
PEKOM Cable tray specialist,distributor,ELECTRICAL — Serbia,43.72385,20.68725,"Kraljevo, Serbia",382000000000,marko.stojanovic@pekom.rs,,MARKO STOJANOVIĆ,Contact,
4imprint,distributor,OTHER — United States,44.02471,-88.54261,"Oshkosh, United States",,ktraverse@4imprint.com,,Katie Traverse,Contact,
Event Services Ireland - Dormant Account,distributor,OTHER,44.05919,-79.46126,Newmarket,353 1 473 7052,,,,Contact,
Casa Verde,distributor,OTHER — Romania,44.42677,26.10254,"Bucuresti, Romania",40733733744,,,,Contact,
CORH S.r.l,distributor,OTHER — Italy,44.77741,7.74056,"CARAMAGNA PIEMONTE Italy, Italy",390000000000,claudio.ruatta@corh.it,,Claudio Rautta,Nicolette Conradie,N.Conradie@Zip-Clip.com
Teknomega,distributor,OTHER — Italy,45.42099,9.11948,"Buccinasco, Italy",390000000000,r.jorio@teknomega.it,,Renato Jorio,Nicolette Conradie,N.Conradie@Zip-Clip.com
FIXA SRL,distributor,OTHER — Italy,45.4685,9.1824,"Milan Italy, Italy",,mdelvecchio@fixasrl.it,,Michele Delvecchio,Nicolette Conradie,N.Conradie@Zip-Clip.com
Teknomega,distributor,OTHER — Italy,45.47907,9.84524,"Lombardy, Italy",390000000000,r.jorio@teknomega.it,,Renato Jorio,Contact,
WSP,distributor,OTHER — Canada,45.50189,-73.56739,"Montréal, Canada",,,,,Contact,
Air Movement Industry,distributor,OTHER — Croatia,45.58354,15.82755,"Pisarovina Croatia, Croatia",,,,,Contact,
Ben-Mor,distributor,OTHER — Canada,45.63069,-72.95634,"Saint-Hyacinthe, Canada",,lvandercar@ben-mor.com,,Luke vandercar,Contact,
Sintra,distributor,OTHER — Italy,45.65444,8.48982,"Pip S. Martino, Italy",390000000000,rossi.lorenzo@sintra-mixind.com,,Lorenzo Rossi,Contact,
FERO TERM,distributor,OTHER — Croatia,45.75566,15.83579,"Gornji Stupnik, Croatia",386000000000,sara.cuk@fero-term.hr,,Sara Cuk,Contact,
Tovica,distributor,OTHER — France,45.76682,5.00366,"Meyzieu, France",33762134671,vcammarata@tovica.fr,,Vito CAMARAT,Christophe Vauraz,C.Vauraz@Zip-Clip.com
Klimaoprema,distributor,OTHER — Croatia,45.80109,15.71105,"Samobor, Croatia",,nikola.stanec@klimaoprema.com,,Nikola Stanec,Contact,
MB Frigo Grupa,distributor,OTHER — Croatia,45.81501,15.98192,"Zagreb, Croatia",,dejan.kolarec@mbfrigo.hr,,Dejan Kolarec,Contact,
AIRVANCE Group,distributor,OTHER — France,45.83346,4.99342,"Beynost, France",,mark.doherty@ukairvancegroup.co.uk,,Mark Doherty,Christophe Vauraz,C.Vauraz@Zip-Clip.com
Tecnosystemi,distributor,OTHER — Italy,45.98743,12.29993,"Vittorio Veneto, Italy",,fabrizio.denardo@tecnosystemi.com,,Fabrizio De Nardo,Steve Goldsworthy,Steve@Zip-Clip.com
Grip One,distributor,OTHER — Romania,46.18656,21.31227,"Arad Romania, Romania",40757070119,office@grip-one.ro,,Alex SICLOVAN,Contact,
Isopartner,distributor,OTHER — Hungary,47.58922,18.92961,"Solymar, Hungary",36202679915,e_gabor@isopartner.hu,,Gabor Felegyhazi,Contact,
MÃƒÂ¼pro,distributor,OTHER — United States,47.67399,-122.1215,"Redmond, United States",3613480440,ane@improfort.com,,Ane,Contact,
RSK,distributor,OTHER — Slovakia,48.20292,17.20449,"Bratislava Vajnory, Slovakia",,,,,Contact,
MEZ-TECHNIK,distributor,OTHER — Germany,48.49437,9.2028,"Reutlingen, Germany",,j.mez@mez-technik.de,,Jorg MEZ,Contact,
Carl Stahl,distributor,OTHER — Germany,48.67985,9.75678,"Sussen, Germany",497000000000000,thomas.krieger@carlstahl-arc.com,,Thomas Krieger,Contact,
Schneider Electric,distributor,ELECTRICAL — France,48.8812,2.18445,"Rueil-Malmaison, France",18887782733,,,,Contact,
C I Lighting,distributor,ELECTRICAL,49.4482,-2.58949,Guernsey,441000000000,steve@cilighting.net,,Steve Rogers,Contact,
Ruck,distributor,OTHER — Germany,49.48134,9.64204,"Boxberg, Germany",,,,,Contact,
Ersigroup,distributor,OTHER — Luxembourg,49.81527,6.12958,"Luxembourg, Luxembourg",,veugui@ersigroup.com,,,Contact,
County Electrical Limited,distributor,ELECTRICAL — United Kingdom,50.1183,-5.54077,"Penzance, United Kingdom",442000000000,dan@lectri-call.co.uk,,,Chris Appleton,
Partridge Ventilation Service & Maintenance Ltd,distributor,HVAC — United Kingdom,50.23302,-5.22667,"Redruth, United Kingdom",441000000000,,,,Chris Appleton,
Kernow Fixings Ltd,distributor,FIXINGS — United Kingdom,50.34038,-4.78343,"St Austell, United Kingdom",01726 624600 Purchasing 624619,,,,Chris Appleton,
031 Edmundson Electrical St Austell,distributor,ELECTRICAL — St Austell — United Kingdom,50.34376,-4.74005,"St Austell Bay Business Park, St Austell, PL25 3RF, United Kingdom",01726 812211,steve.wheatley@eel.co.uk,,STEVE WHEATLEY,Chris Appleton,C.Appleton@zip-clip.com
028 Edmundson Electrical Plymouth,distributor,ELECTRICAL — Plymouth — United Kingdom,50.36791,-4.1592,"Emma Place, Peterborough, PL1 3QT, United Kingdom",01752 668585,dan.cook@eel.co.uk,,DAN COOK,Chris Appleton,C.Appleton@zip-clip.com
Air Duct Systems,distributor,HVAC — United Kingdom,50.37546,-4.14266,"Plymouth, United Kingdom",442000000000,,,,Chris Appleton,
G & R Electrical Wholesalers Ltd,distributor,ELECTRICAL — United Kingdom,50.37546,-4.14266,"Plymouth, United Kingdom",442000000000,,,,Chris Appleton,
N G Bailey Plymouth Office,distributor,OTHER — United Kingdom,50.37546,-4.14266,"Plymouth, United Kingdom",441000000000,david.hurcomb@ngbailey.co.uk,,David Stuart Hurcomb Hurcomb,Chris Appleton,
Rexel - Plymouth Phoenix Business Park,distributor,ELECTRICAL — United Kingdom,50.37546,-4.14266,"Plymouth, United Kingdom",,,,,Chris Appleton,
Hewett Electrical Supplies Ltd,distributor,ELECTRICAL — United Kingdom,50.46192,-3.52531,"Torquay, United Kingdom",442000000000,jeff@hewettelectrical.co.uk,,Jeff Hewett,Chris Appleton,
Hewitt Electrical Supplies Ltd,distributor,ELECTRICAL — United Kingdom,50.46192,-3.52531,"Torquay, United Kingdom",442000000000,,,,Chris Appleton,
Thomas Electrical Distributors,distributor,ELECTRICAL — United Kingdom,50.52891,-3.60836,"Newton Abbot, United Kingdom",442000000000,,,,Contact,
Thomas Electrical Distributors Ltd Newton Abbot,distributor,ELECTRICAL — United Kingdom,50.52891,-3.60836,"Newton Abbot, United Kingdom",442000000000,,,,Contact,
PHC (Powred Heating Components Ltd) Weymouth,distributor,HVAC — United Kingdom,50.60993,-2.45463,"Weymouth, United Kingdom",441000000000,,,,Chris Appleton,
Tube Access,distributor,OTHER — Belgium,50.6477,5.49477,"Grace-Hollogne, Belgium",3242636641,info@tube-access.com,,Taoufik MALEHOU,Contact,
MW Electrical,distributor,ELECTRICAL — United Kingdom,50.69385,-1.30473,"Isle of Wight, United Kingdom",442000000000,info@mwelectrical.co.uk,,Matt Williams,Contact,
Harding Walsall Electrical - 380,distributor,ELECTRICAL — United Kingdom,50.70496,-3.53121,"Grace Road West, United Kingdom",441000000000,,,,Contact,
G W Electrical,distributor,ELECTRICAL — United Kingdom,50.71134,-2.4435,"Dorchester, United Kingdom",441000000000,rob@gw-electrical.co.uk,,Rob Rees,Josh Wade,
Ventilate Limited,distributor,HVAC — United Kingdom,50.71505,-1.98725,"Poole, United Kingdom",441000000000,,,,Chris Appleton,
024 Edmundson Electrical Exeter,distributor,ELECTRICAL — Exeter — United Kingdom,50.72286,-3.47018,"Bittern Road, Exeter, EX2 7LW, United Kingdom",01392 446556,alex.glasson@eel.co.uk,,ALEX GLASSON,Chris Appleton,C.Appleton@zip-clip.com
Rexel - Exeter,distributor,ELECTRICAL — United Kingdom,50.72604,-3.52749,"Exeter, United Kingdom",,,,,Chris Appleton,
Rexel - Poole,distributor,ELECTRICAL — United Kingdom,50.73251,-1.95229,"Parkstone, Poole, United Kingdom",,,,,Chris Appleton,
GW Electrical Distributors Ltd Bridport,distributor,ELECTRICAL — United Kingdom,50.73358,-2.7583,"Bridport, United Kingdom",441000000000,rob@gw-electrical.co.uk,,Rob Rees,Chris Appleton,
Meridian Electrical Contracting,distributor,ELECTRICAL — United Kingdom,50.75853,-1.54191,"Lymington, United Kingdom",448000000000,john@meridianelectrical.co.uk,,John Humphreys,Chris Appleton,
CDM Stravitec,distributor,OTHER — Belgium,50.77056,4.54079,"Overijse, Belgium",3226877907,j.miroir@cdm-stravitec.com,,Justin Miroir,Contact,
Atkinson Electrical Wholesale Ltd,distributor,ELECTRICAL — United Kingdom,50.80048,-1.141,"Gosport, United Kingdom",442000000000,,,,Chris Appleton,
Amp Electrical Supplies Ltd,distributor,ELECTRICAL — United Kingdom,50.81977,-1.08798,"Portsmouth, United Kingdom",442000000000,,,,Toby House,
ABS Electrical Supplies Limited,distributor,ELECTRICAL — United Kingdom,50.82333,-0.13628,"Brighton, United Kingdom",441000000000,marc@abs-electrical.co.uk,,Marc Rewell,Toby House,
USE FUTURLTD,distributor,OTHER — United Kingdom,50.83268,-0.17835,"Middleton Grove, United Kingdom",441000000000,,,,Josh Wade,
BEW Electrical Distributors Ltd - Havant,distributor,ELECTRICAL — United Kingdom,50.85183,-0.98471,"Havant, United Kingdom",,,,,Chris Appleton,
Impulse Electrical Supplies Ltd,distributor,ELECTRICAL — United Kingdom,50.85183,-0.98471,"Havant, United Kingdom",442000000000,,,,Chris Appleton,
Linum Europe,distributor,OTHER — Belgium,50.85407,3.28721,"Kuurne, Belgium",3256359294,,,,Contact,
A T Jones Ltd,distributor,OTHER — United Kingdom,50.85485,-1.18659,"Fareham, United Kingdom",441000000000,,,,Chris Appleton,
Complete Ductwork Ltd,distributor,HVAC — United Kingdom,50.86115,0.24824,"Diplocks Way, United Kingdom",441000000000,,,,Contact,
GGS,distributor,OTHER — United Kingdom,50.86164,0.25649,"Hailsham, United Kingdom",441000000000,,,,Toby House,
Allflow,distributor,OTHER — United Kingdom,50.89031,-1.02875,"Waterlooville, United Kingdom",442000000000,jerry@allflow.co.uk,,Jerry Lawson,Contact,
Templegate Electrical Supplies Ltd - Radstock,distributor,ELECTRICAL — United Kingdom,50.89947,-1.37081,"Radstock Road, United Kingdom",4400000000000,mark.hurley@templegate.co.uk,,Mark Hurley,Chris Appleton,
DCE Electrical,distributor,ELECTRICAL,50.91055,-1.4049,Southampton,442000000000,sam.henry@dceelectrical.co.uk,,SAM HENRY DCE ELECTRICAL,Contact,
HAS Electrical Contractors - No Statement,distributor,ELECTRICAL — United Kingdom,50.91055,-1.4049,"Southampton, United Kingdom",,hugh.smith@haselectrical.co.uk,,Hugh Smith,Toby House,
Peel Fabrications (Southampton) Ltd,distributor,OTHER — United Kingdom,50.91055,-1.4049,"Southampton, United Kingdom",441000000000,m.sahiaoui@icat.ma,,Meriem SAHIAOUI,Toby House,
PHC (Powred Heating Components Ltd) Southampton A,distributor,HVAC — United Kingdom,50.91055,-1.4049,"Southampton, United Kingdom",442000000000,,,,Toby House,
PHC (Powred Heating Components Ltd) Southampton B,distributor,HVAC — United Kingdom,50.91055,-1.4049,"Southampton, United Kingdom",442000000000,,,,Toby House,
Stearn,distributor,OTHER — United Kingdom,50.91055,-1.4049,"Southampton, United Kingdom",441000000000,,,,Toby House,
Vanguard Fixings,distributor,FIXINGS — United Kingdom,50.91055,-1.4049,"Southampton, United Kingdom",442000000000,,,,Toby House,
Workmode Ltd t/a Signmode,distributor,OTHER — United Kingdom,50.91055,-1.4049,"Southampton, United Kingdom",448000000000,,,,Toby House,
Reform Electrical Distributors Ltd,distributor,ELECTRICAL — United Kingdom,50.91412,-1.49859,"Totton, United Kingdom",442000000000,olivia.cosgrove@rm-electrical.com,,Olivia Cosgrove,Chris Appleton,
Bison Industrial Ltd,distributor,OTHER — United Kingdom,50.91547,-1.27575,"Botley, United Kingdom",441000000000,,,,Chris Appleton,
Spectrum Electrical,distributor,ELECTRICAL — United Kingdom,50.94206,-2.63331,"Yeovil, United Kingdom",,,,,Chris Appleton,
Freeway Tools & Fixings,distributor,FIXINGS — United Kingdom,50.95447,-0.1287,"Burgess Hill, United Kingdom",441000000000,,,,Toby House,
Youngs Extract Supplies T/A Vent Vision,distributor,OTHER — United Kingdom,50.96718,-1.37469,"Eastleigh,, United Kingdom",442000000000,,,,Josh Wade,
R & M Electrical Group Ltd - Oxford,distributor,ELECTRICAL — United Kingdom,50.98395,-1.37926,"Chadlers Ford, United Kingdom",442000000000,olivia.cosgrove@rm-electrical.com,,Olivia Cosgrove,Contact,
R & M Electrical Group Ltd - Southampton,distributor,ELECTRICAL — United Kingdom,50.98395,-1.37926,"Chadlers Ford, United Kingdom",442000000000,olivia.cosgrove@rm-electrical.com,,Olivia Cosgrove,Contact,
R & M Electrical Group Ltd - Swansea,distributor,ELECTRICAL — United Kingdom,50.98395,-1.37926,"Chandlers Ford, United Kingdom",442000000000,olivia.cosgrove@rm-electrical.com,,Olivia Cosgrove,Chris Appleton,
Rexel - Chandlers Ford,distributor,ELECTRICAL — United Kingdom,50.98395,-1.37926,"Chandlers Ford, United Kingdom",,,,,Chris Appleton,
Storm Ventilation Supplies Ltd - Romsey,distributor,HVAC — United Kingdom,51.00008,-1.49808,"Greatbridge Road, United Kingdom",TBC,,,,Contact,
Wessex M&E,distributor,OTHER — United Kingdom,51.0046,-2.19808,"Shaftesbury, United Kingdom",4400000000000,ryan.wannell@wessexme.com,,Ryan Wannell,Josh Wade,
Advance Fixing,distributor,FIXINGS — United Kingdom,51.01534,-3.10685,"Taunton, United Kingdom",442000000000,,,,Chris Appleton,
J.A.B Electrical Supplies Ltd Taunton,distributor,ELECTRICAL — United Kingdom,51.01534,-3.10685,"Taunton, United Kingdom",442000000000,,,,Chris Appleton,
Grant & Stone Limited - Bideford,distributor,OTHER — United Kingdom,51.01668,-4.20667,"Bideford, United Kingdom",441000000000,,,,Chris Appleton,
Smart Manufacturing Ltd,distributor,OTHER — United Kingdom,51.01668,-4.20667,"Bideford, United Kingdom",441000000000,,,,Chris Appleton,
J.A.B Electrical Supplies Ltd Wellington,distributor,ELECTRICAL — United Kingdom,51.02249,-3.15611,"Wellington, United Kingdom",442000000000,,,,Toby House,
TDI Tremiver Ltd,distributor,OTHER — United Kingdom,51.05977,-1.31014,"Winchester, United Kingdom",441000000000,,,,Josh Wade,
Grant & Stone Limited - Barnstaple,distributor,OTHER — United Kingdom,51.07816,-4.05834,"Barnstaple, United Kingdom",441000000000,,,,Chris Appleton,
Grant & Stone Limited - Weymouth,distributor,OTHER — United Kingdom,51.07816,-4.05834,"Barnstaple, United Kingdom",441000000000,,,,Chris Appleton,
BEW Electrical Distributors Ltd - Gatwick,distributor,ELECTRICAL — United Kingdom,51.10914,-0.18723,"Crawley, United Kingdom",,,,,Toby House,
Rexel UK Ltd - Crawley,distributor,ELECTRICAL — United Kingdom,51.10914,-0.18723,"Crawley, United Kingdom",,,,,Toby House,
Storm Ventilation Supplies Ltd - Crawley,distributor,HVAC — United Kingdom,51.10914,-0.18723,"Crawley, United Kingdom",441000000000,,,,Toby House,
BEW Electrical Distributors Ltd - Ashford,distributor,ELECTRICAL — United Kingdom,51.13262,0.90932,"Sevington, United Kingdom",,,,,Toby House,
VJ Technology,distributor,OTHER — United Kingdom,51.1451,0.87396,"Ashford, United Kingdom",01233 637695 (opt 4 then 2),jbrunger@vjtechnology.com,,Joanne Warner,Toby House,
Uni Electro,distributor,ELECTRICAL — Germany,51.16569,10.45153,"Germany, Germany",4906196477,,,,Contact,
Supreme Digital Print Ltd,distributor,OTHER — United Kingdom,51.16792,-1.76298,"Amesbury, United Kingdom",442000000000,,,,Josh Wade,
Vizual Koncept,distributor,OTHER — United Kingdom,51.16792,-1.76298,"Amesbury, United Kingdom",448000000000,,,,Josh Wade,
Alpha Wholesale HVAC Ltd,distributor,ELECTRICAL — United Kingdom,51.17361,0.49071,"Marden, Tonbridge, United Kingdom",442000000000,sales@alphawholesale.co.uk,,,Toby House,
Christie & Grey,distributor,OTHER — United Kingdom,51.19504,0.27568,"Tonbridge, United Kingdom",442000000000,,,,Toby House,
Sign 2000 Ltd,distributor,OTHER — United Kingdom,51.19504,0.27568,"Tonbridge, United Kingdom",442000000000,,,,Toby House,
BWV,distributor,OTHER — Belgium,51.2031,4.52256,"Wommelgem, Belgium",32474466104,,,,Contact,
Rexel Senate Ltd - Farnham,distributor,ELECTRICAL — United Kingdom,51.21432,-0.7988,"Farnham, United Kingdom",,,,,Toby House,
Halsion,distributor,OTHER — United Kingdom,51.22301,1.04589,"Petham, United Kingdom",441000000000,,,,Contact,
Deutsche Messe,distributor,OTHER — Germany,51.22304,6.78245,"Duesseldorf, Germany",,,,,Contact,
Tecni Ltd,distributor,OTHER — United Kingdom,51.22498,-2.97803,"Highbridge, United Kingdom",441000000000,dean@tecni.uk,,Dean Manning,Chris Appleton,
Templegate Electrical Supplies Ltd - Stroud,distributor,ELECTRICAL — United Kingdom,51.22848,-2.30936,"Wallbridge, United Kingdom",441000000000,mark.hurley@templegate.co.uk,,Mark Hurley,Contact,
BEW Electrical Distributors Ltd - Guildford,distributor,ELECTRICAL — United Kingdom,51.23622,-0.57041,"Guildford, United Kingdom",,,,,Toby House,
Stock Signs,distributor,OTHER — United Kingdom,51.23921,-0.16988,"Redhill, United Kingdom",01737 774072,josh@stocksigns.co.uk,,Josh Lyne,Toby House,
Technical Fixing Solutions Ltd,distributor,FIXINGS — United Kingdom,51.24226,0.69158,"Ashford Road, United Kingdom",442000000000,,,,Toby House,
Airsmart,distributor,OTHER — Belgium,51.25387,4.49115,"Schoten, Belgium",,manu.nys@airsmart.pro,,Manu Nys,Contact,
Environmental Air Services Ltd - Liquidated,distributor,OTHER — United Kingdom,51.25571,-0.0,"Oxted, United Kingdom",442000000000,,,,Toby House,
SIG - Ash Vale,distributor,OTHER — United Kingdom,51.26438,-0.72197,"Ash Vale, United Kingdom",441000000000,,,,Contact,
R & B Star (Electrical Wholesalers) Ltd,distributor,ELECTRICAL — United Kingdom,51.27041,0.52272,"Maidstone, United Kingdom",442000000000,,,,Toby House,
Regent Electrical Distributors - Sevenoaks,distributor,ELECTRICAL — United Kingdom,51.27241,0.1909,"Sevenoaks, United Kingdom",442000000000,sittingbourne@regentelectrical.com,,Regent Sittingbourne,Toby House,
BEW Electrical Distributors Ltd - Farnborough,distributor,ELECTRICAL — United Kingdom,51.28689,-0.75262,"Farnborough, United Kingdom",,,,,Toby House,
Wates Group,distributor,OTHER — United Kingdom,51.29641,-0.33112,"Leatherhead, United Kingdom",441000000000,,,,Toby House,
BEW Electrical Distributors Ltd - Woking,distributor,ELECTRICAL — United Kingdom,51.31677,-0.56003,"Woking, United Kingdom",,,,,Toby House,
Brymec Ltd - Coulsdon,distributor,OTHER — United Kingdom,51.31994,-0.14127,"Coulsden, United Kingdom",,,,,Contact,
Electroco (Electrical Wholesale) Limited,distributor,ELECTRICAL — United Kingdom,51.3351,-0.26371,"Epsom, United Kingdom",441000000000,jack.stunell@electroco.co.uk,,Jack Stunell,Toby House,
Addlestone Electrical Wholesalers Ltd,distributor,ELECTRICAL — United Kingdom,51.34013,-0.47136,"Byfleet, United Kingdom",442000000000,purchasing@ne-electrical.co.uk,,,Toby House,
Direct Bearings & Power Transmission Ltd,distributor,ELECTRICAL — United Kingdom,51.36016,1.43204,"Broadstairs, United Kingdom",442000000000,,,,Toby House,
Powerpoint Electrics (Cheam) Ltd,distributor,ELECTRICAL — United Kingdom,51.36193,-0.21893,"North Cheam, United Kingdom",442000000000,,,,Toby House,
